+ srun -n 2 -N 2 --export=ALL,UCX_NET_DEVICES=eno1 /home/course/hpc/tools/osu_bw -m :1048576
# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.58
4                       1.17
8                       2.30
16                      4.77
32                      8.69
64                     15.52
128                    32.57
256                    52.63
512                    78.68
1024                   94.63
2048                  104.35
4096                  110.37
8192                  113.87
16384                 115.92
32768                 116.79
65536                 117.08
131072                117.37
262144                117.51
524288                117.56
1048576               117.60
