+ srun -n 2 -N 2 /home/course/hpc/tools/osu_bw
# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.94
2                       7.79
4                      15.98
8                      32.02
16                     64.06
32                    130.30
64                    233.23
128                   352.54
256                   509.75
512                  1159.30
1024                 1842.97
2048                 2826.56
4096                 3902.51
8192                 4859.21
16384                5116.44
32768               10924.63
65536               11634.84
131072              11816.86
262144              11945.43
524288              12008.93
1048576             12039.73
2097152             12047.51
4194304             12059.59
