+ srun -n 2 -N 2 --export=ALL,UCX_NET_DEVICES=eno1 /home/course/hpc/tools/osu_latency -m :1048576
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      47.71
2                      46.17
4                      47.14
8                      47.17
16                     47.24
32                     47.55
64                     48.60
128                    50.24
256                    55.11
512                    60.89
1024                   72.94
2048                   90.77
4096                  113.43
8192                  195.89
16384                 221.90
32768                 366.80
65536                 640.53
131072               1203.49
262144               2424.65
524288               4656.52
1048576              9105.31
