+ srun -n 2 -N 2 /home/course/hpc/tools/osu_latency
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.24
2                       1.23
4                       1.22
8                       1.21
16                      1.21
32                      1.27
64                      1.42
128                     1.51
256                     2.38
512                     2.46
1024                    2.84
2048                    3.49
4096                    7.97
8192                   10.55
16384                  13.18
32768                  17.23
65536                  23.36
131072                 36.31
262144                 52.74
524288                 83.73
1048576               155.86
2097152               291.69
4194304               424.59
